Fruits,Calories,Calories from Fat,Total Fat (g),Total Fat (%DV),Sodium (mg),Sodium (%DV),Potassium (mg),Potassium (%DV),Total Carb. (g),Total Carb. (%DV),Dietary Fiber (%DV),Sugars (g),Protein (g),Vitamin A (%DV),Vitamin C (%DV),Calcium (%DV),Iron (%DV)
apple,130,0,0,0,0,0,260,7,34,11,5,20,25,1,2,8,2
avocado california,50,,,,,,,,,,,,,,,,
banana,110,,,,,,,,,,,,,,,,
cantaloupe,50,,,,,,,,,,,,,,,,
grapefruit,60,,,,,,,,,,,,,,,,
grapes,90,,,,,,,,,,,,,,,,
honeydew melon,50,,,,,,,,,,,,,,,,
kiwifruit,90,,,,,,,,,,,,,,,,
lemon,15,,,,,,,,,,,,,,,,
lime,20,,,,,,,,,,,,,,,,
nectarine,60,,,,,,,,,,,,,,,,
orange,80,,,,,,,,,,,,,,,,
peach,60,,,,,,,,,,,,,,,,
pear,100,,,,,,,,,,,,,,,,
pineapple,50,,,,,,,,,,,,,,,,
plums,70,,,,,,,,,,,,,,,,
strawberries,50,,,,,,,,,,,,,,,,
sweet cherries,100,,,,,,,,,,,,,,,,
tanguerine,50,,,,,,,,,,,,,,,,
watermelon,80,,,,,,,,,,,,,,,,